Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,final 3rd,PPA,CrsPA,Prog,Matches
70,Rachel Furness,nir NIR,MF,Liverpool,31,1988,4,18.8,38.8,48.4,318,143.8,0.5,2,25,14.8,25.5,57.8,14,45,31.1,0.25,0.25,0,1,2.5,0.5,0,4.75,Matches
71,Rachel Furness,nir NIR,"MF,FW",Tottenham,31,1988,9,18.8,31.9,58.9,346,104.9,0.22,1.67,13.3,14.6,21.7,67.2,36,77,46.8,0,0.13,-0.13,1.11,1.78,0.67,0.44,3.11,Matches
72,Jeon Ga-eul,kr KOR,"MF,FW",Bristol City,30,1988,1.3,16.9,20,84.6,191.5,48.5,1.54,2.31,66.7,15.4,16.2,95.2,0,2,0,0,0,0,0,0,0,0,0.77,Matches
73,Jacynta Galabadaarachchi,au AUS,"FW,MF",West Ham,18,2001,5.4,15.7,24.4,64.4,244.6,82,0.19,1.11,16.7,13.5,18.3,73.7,11,27,40.7,0,0.02,-0.02,0.37,2.04,0.19,0,2.04,Matches
74,Leah Galton,eng ENG,FW,Manchester Utd,25,1994,11.5,18.7,29.9,62.5,301.2,83.7,0.52,1.91,27.3,15.3,22,69.6,33,69,47.8,0.26,0.17,0.09,1.22,0.7,0.87,0.61,2.26,Matches
75,Gabrielle George,eng ENG,DF,Everton,22,1997,13,36.9,46.9,78.7,802.5,302.5,0.38,1.15,33.3,25.1,28.1,89.3,149,230,64.8,0,0.01,-0.01,0.15,1.62,0.08,0,2.38,Matches
76,Lee Geum-min,kr KOR,"MF,FW",Manchester City,25,1994,0.5,44,62,71,664,172,0,2,0,42,52,80.8,1,4,25,0,0.2,-0.2,2,0,6,4,8,Matches
77,Felicity Gibbons,eng ENG,DF,Brighton,25,1994,15,29.6,43.9,67.4,512.8,248.8,0.13,1.73,7.7,24.8,31.7,78.2,70,157,44.6,0,0.02,-0.02,0.47,1.07,0.47,0.2,4.67,Matches
78,Hannah Godfrey,sco SCO,DF,Tottenham,22,1997,14,37.6,48.3,78,890.2,348.9,0.29,1.07,26.7,23.4,27.2,85.8,196,280,70,0,0.02,-0.02,0.43,1.36,0.07,0,2.07,Matches
79,Esmee de Graaf,nl NED,"FW,DF",West Ham,21,1997,0.4,20,30,66.7,335,155,2.5,2.5,100,15,25,60,1,1,100,0,0,0,0,2.5,0,0,10,Matches
80,Kit Graham,eng ENG,"FW,MF",Tottenham,23,1995,12,14.1,24.8,56.7,261.9,101.7,0.58,2,29.2,10.2,14.3,70.9,40,102,39.2,0.08,0.06,0.02,1.58,1.25,0.75,0.17,3.83,Matches
81,Lucy Graham,sco SCO,MF,Everton,22,1996,13.7,24.3,36.9,65.8,410.7,113.8,0.44,2.7,16.2,19.6,25.7,76.4,58,117,49.6,0.15,0.12,0.02,0.58,2.55,0.22,0.07,3.21,Matches
82,Abbi Grant,sco SCO,"FW,MF",Birmingham City,23,1995,12,19.8,26.3,75.2,304.5,56.6,0.5,1.08,46.2,16.8,20.8,81.1,29,53,54.7,0,0.03,-0.03,0.92,1.17,0.5,0.08,1.58,Matches
