Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
18,Janine Beckie,ca CAN,"DF,FW",Manchester City,24,1994,13,0,0,0,1.85,0.54,0,29.2,0.14,0.04,0,0,0.24,0.24,0.13,-0.24,-0.24,Matches
19,Karima Benameur,fr FRA,GK,Manchester City,30,1989,0,0,0,0,0,0,0,,,,,,0,0,,0,0,Matches
20,Ann-Katrin Berger,de GER,GK,Chelsea,28,1990,13,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
21,Hannah Blundell,eng ENG,DF,Chelsea,25,1994,4.6,0.22,0,0,1.52,0.43,0,28.6,0.33,0.09,0.14,0.5,0.11,0.11,0.07,0.11,0.11,Matches
22,Gemma Bonner,eng ENG,DF,Manchester City,28,1991,16,0.19,0,0,0.88,0.31,0,35.7,0.05,0.02,0.21,0.6,0.11,0.11,0.13,0.07,0.07,Matches
23,Chantelle Boye-Hlorkah,eng ENG,FW,Everton,,,6.8,0,0,0,1.62,0.59,0,36.4,0.24,0.09,0,0,0.13,0.13,0.08,-0.13,-0.13,Matches
24,Sophie Bradley,eng ENG,DF,Liverpool,29,1989,14,0,0,0,0.43,0.07,0,16.7,0.03,0.01,0,0,0.04,0.04,0.09,-0.04,-0.04,Matches
25,Ellie Brazil,eng ENG,"FW,MF",Brighton,20,1999,5,0,0,0,1.4,0.6,0,42.9,0.28,0.12,0,0,0.16,0.16,0.12,-0.16,-0.16,Matches
26,Pauline Bremer,de GER,FW,Manchester City,23,1996,6.4,1.56,0,0,7.19,3.28,0,45.7,1.12,0.51,0.22,0.48,0.81,0.81,0.12,0.75,0.75,Matches
27,Millie Bright,eng ENG,DF,Chelsea,25,1993,15,0.07,0,0,0.87,0.2,0,23.1,0.06,0.01,0.08,0.33,0.09,0.09,0.1,-0.02,-0.02,Matches
28,Courtney Brosnan,ie IRL,GK,West Ham,23,1995,10,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
29,Georgia Brougham,eng ENG,DF,Birmingham City,23,1996,2,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
30,Frankie Brown,sco SCO,"MF,DF",Bristol City,31,1987,12.7,0,0,0,0.31,0.16,0,50,0.02,0.01,0,0,0.01,0.01,0.02,-0.01,-0.01,Matches
31,Laura Brown,eng ENG,FW,Birmingham City,15,2003,0,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
32,Faye Bryson,eng ENG,DF,Bristol City,,,2.3,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
33,Danielle Buet,eng ENG,MF,Brighton,30,1988,14.9,0,0,0,0.54,0.34,0.07,62.5,0.04,0.02,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
34,Hannah Cain,eng ENG,FW,Everton,20,1999,6.1,0,0,0,2.62,0.98,0,37.5,0.43,0.16,0,0,0.18,0.18,0.07,-0.18,-0.18,Matches
35,Megan Campbell,ie IRL,DF,Manchester City,26,1993,3.7,0,0,0,0.27,0,0,0,0.07,0,0,,0,0,0.04,0,0,Matches
36,Jessica Carter,eng ENG,"MF,DF",Chelsea,21,1997,1.8,0.56,0,0,1.11,0.56,0,50,0.6,0.3,0.5,1,0.28,0.28,0.25,0.28,0.28,Matches
37,Olivia Chance,nz NZL,"MF,FW",Bristol City,25,1993,11.3,0,0,0,1.06,0.09,0,8.3,0.09,0.01,0,0,0.04,0.04,0.04,-0.04,-0.04,Matches
38,Brooke Chaplen,eng ENG,FW,Reading,30,1989,11.2,0.27,0,0,2.68,1.07,0,40,0.24,0.1,0.1,0.25,0.23,0.23,0.09,0.04,0.04,Matches
39,Niamh Charles,eng ENG,"FW,MF",Liverpool,20,1999,11.9,0.17,0,0,1.6,0.42,0,26.3,0.13,0.04,0.11,0.4,0.12,0.12,0.07,0.05,0.05,Matches
40,Jessica Clarke,eng ENG,"FW,MF",Liverpool,30,1989,4,0,0,0,1.25,0.5,0,40,0.31,0.13,0,0,0.13,0.13,0.1,-0.13,-0.13,Matches
41,Maéva Clemaron,fr FRA,MF,Everton,26,1992,10.9,0,0,0,0.46,0.18,0,40,0.04,0.02,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
42,Maisy Collis,,MF,Bristol City,,,0.4,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
43,Megan Connolly,ie IRL,MF,Brighton,22,1997,6.6,0.15,0,0,0.61,0.3,0,50,0.09,0.05,0.25,0.5,0.11,0.11,0.17,0.05,0.05,Matches
44,Laura Coombs,eng ENG,"MF,FW",Manchester City,28,1991,1.1,0,0,0,1.82,0.91,0,50,1.6,0.8,0,0,0.09,0.09,0.06,-0.09,-0.09,Matches
45,Deanna Cooper,eng ENG,MF,Chelsea,,,0.3,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
46,Erin Cuthbert,sco SCO,"MF,FW",Chelsea,21,1998,11.9,0.17,0,0,1.93,0.84,0.08,43.5,0.16,0.07,0.09,0.2,0.25,0.25,0.13,-0.08,-0.08,Matches
47,Kenza Dali,fr FRA,"MF,FW",West Ham,28,1991,13,0.15,0.08,0.08,1.69,0.54,0.23,31.8,0.13,0.04,0.05,0.14,0.2,0.14,0.08,-0.05,-0.06,Matches
48,Yana Daniels,be BEL,"MF,FW",Bristol City,27,1992,13,0.15,0,0.08,1,0.23,0,23.1,0.08,0.02,0.15,0.67,0.19,0.12,0.12,-0.04,0.04,Matches
49,Gemma Davison,eng ENG,"MF,FW",Tottenham,32,1987,9.7,0,0,0,1.24,0.41,0,33.3,0.13,0.04,0,0,0.04,0.04,0.03,-0.04,-0.04,Matches
50,Rianna Dean,eng ENG,FW,Tottenham,20,1998,12.6,0.32,0.16,0.16,1.98,0.71,0,36,0.16,0.06,0.08,0.22,0.49,0.37,0.19,-0.17,-0.21,Matches
51,Vita van der Linden,nl NED,MF,Bristol City,22,1997,0.6,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
52,Daniëlle van de Donk,nl NED,"FW,MF",Arsenal,27,1991,14.2,0.35,0,0,1.48,0.7,0.07,47.6,0.1,0.05,0.24,0.5,0.29,0.29,0.19,0.06,0.06,Matches
53,Loren Dykes,wal WAL,DF,Bristol City,31,1988,9.3,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
54,Mary Earps,eng ENG,GK,Manchester Utd,26,1993,14,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
55,Amalie Eikeland,no NOR,FW,Reading,23,1995,12.2,0.16,0,0,1.89,0.57,0,30.4,0.15,0.05,0.09,0.29,0.27,0.27,0.14,-0.11,-0.11,Matches
56,Bethany England,eng ENG,FW,Chelsea,25,1994,14.7,0.95,0,0,4.97,2.59,0,52.1,0.34,0.18,0.19,0.37,0.84,0.84,0.17,0.12,0.12,Matches
57,Adelina Engman,fi FIN,"FW,MF",Chelsea,24,1994,0.9,0,0,0,3.33,1.11,0,33.3,3.7,1.23,0,0,0.44,0.44,0.12,-0.44,-0.44,Matches
58,Magdalena Eriksson,se SWE,DF,Chelsea,25,1993,14,0.07,0,0,1.14,0.29,0,25,0.08,0.02,0.06,0.25,0.14,0.14,0.13,-0.07,-0.07,Matches
59,Kika van Es,nl NED,DF,Everton,27,1991,7.1,0,0,0,0.14,0,0,0,0.02,0,0,,0,0,0.01,0,0,Matches
